음 식 명,중량(g),에너지(kcal),탄수화물(g),당류(g),지방(g),단백질(g),칼슘(mg),인(mg),나트륨(mg),칼륨(mg),마그네슘(mg),철(mg),아연(mg),콜레스테롤(mg),트랜스지방(g),
아이스 잉글리쉬 브렉퍼스트 티,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,스타벅스
아이스 제주 유기 녹차,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,스타벅스
아이스 차이 티,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,스타벅스
아이스 캐모마일 블렌드 티,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,스타벅스
아이스 히비스커스 블렌드 티,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,스타벅스
얼 그레이 티,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,스타벅스
유스베리 티,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,스타벅스
잉글리쉬 브렉퍼스트 티,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,스타벅스
자몽 허니 블랙 티,355,125,0,30,0,0,0,0,4.2,0,0,0,0,0,0,스타벅스
제주 유기 녹차,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,스타벅스
차이 티,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,스타벅스
캐모마일 블렌드 티,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,스타벅스
히비스커스 블렌드 티,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,스타벅스
가드닝 블랙 티,355,140,0,29,0,0,0,0,1.7,0,0,0,0,0,0,스타벅스
가드닝 캐모마일 티,355,130,0,30,0,0,0,0,2.3,0,0,0,0,0,0,스타벅스
썸머 시트러스 소르베 그린 티,355,255,0,57,0,1,0,0,5,0,0,0,0,0,0,스타벅스
썸머 시트러스 아이스 그린 티,355,185,0,41,0,0,0,0,5,0,0,0,0,0,0,스타벅스
